unemprate,Year,State,total.population,male,female,under_5yrs,X5to9_yrs,X10to14_yrs,X15to19_yrs,X60to64_yrs,X65to74_yrs,X75to84_yrs,X85andover,median_age,X18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,X12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen
10.5,2010,Alabama,4712651,2285905,2426746,302659,310599,316989,344094,255880,353234,208147,73836,37.5,3580348,3293917,1232325,25814,51219,4712651,2146513,3714504,2246848,1467656,343965,332613,160208,296253,77094,580707,506106,609138,4599040,1378732,558457,200684,63947,383038,653096,245008,45532,112403
7.9,2010,Alaska,691189,358919,332270,51360,49481,51008,54336,31157,32019,14049,4086,33.8,506042,464150,22655,98120,36021,691189,298723,528189,380443,147746,58949,84606,27629,15338,14726,79564,60677,94569,665870,209932,100416,29438,9844,24788,121756,41211,24772,24990
10.4,2010,Arizona,6246816,3108234,3138582,463060,440280,440109,452844,321460,462410,275989,94829,35.5,4633315,4883606,240655,278336,166663,6246816,2776037,4813496,2995656,1817840,530317,416233,244026,211782,117804,784163,623070,781722,6112128,1828811,822536,250951,89232,338504,1026418,385058,289578,595047
8.2,2010,Arkansas,2872684,1408945,1463739,195486,196248,193662,205597,158059,223331,132685,49879,37.2,2166423,2253875,445197,19192,33327,2872684,1300449,2247624,1367999,879625,223344,202409,93001,187690,48084,354391,303910,373700,2794148,812922,315892,129491,40558,211077,408196,120202,34745,87701
12.2,2010,California,36637290,18223157,18414133,2545065,2483443,2609028,2803320,1671557,2135547,1366990,558059,34.9,27311961,22392713,2246311,283628,4747252,36637290,13552624,28445585,18418306,10027279,2916428,2425341,1157120,1721087,713876,3897530,3022366,4686550,35810593,11492070,5511287,1126688,508848,2097207,5043595,2546914,4472020,5490452
8.7,2010,Colorado,4887061,2448492,2438569,339998,338842,321321,340816,242098,283790,166186,65046,35.8,3684531,4082565,190598,47022,133134,4887061,2176600,3820290,2666975,1153315,394067,349593,217545,178785,81869,682951,541091,636420,4773248,1374083,639576,193833,66831,202865,715142,411470,158669,321100
9.1,2010,Connecticut,3545837,1724834,1821003,205479,225452,242245,253097,190158,240127,170085,81491,39.5,2718314,2795926,342764,7959,129904,3545837,1475657,2820837,1919849,900988,242112,236804,112301,207476,55106,447565,369552,459057,3428540,1038567,472592,116888,43077,167250,415439,367259,217613,251567
8.4,2010,Delaware,881278,427218,454060,56010,56289,55899,64141,49641,67891,39455,15566,38.3,676009,626426,185253,3076,27914,881278,398866,700375,454892,245483,63984,60859,31508,39518,15197,106843,86990,109869,856711,253625,117022,31232,11230,51388,116306,65108,29935,42596
9.4,2010,District of Columbia,584400,276101,308299,32422,26098,26670,43697,28237,35237,22257,9614,34.3,481310,222375,309048,1625,20323,584400,293492,493401,331098,162303,35311,78192,8727,3670,9437,148146,120619,54238,545221,126243,134544,19231,5356,33863,56810,108831,27350,48708
11.1,2010,Florida,18511620,9050155,9461465,1080506,1070056,1131854,1232511,1063591,1633014,1088540,412551,40.3,14498530,14115228,2900412,54570,444584,18511620,8863057,14988197,9187180,5801017,1233611,1098322,712177,479181,320344,2482775,2009994,2129247,18094624,5028793,2396719,804344,216883,1155377,2634397,1169365,1667068,1882442
10.5,2010,Georgia,9468815,4626914,4841901,688521,682255,671694,712883,450571,560765,301379,109207,35,7006337,5788255,2873069,23234,296986,9468815,4020736,7287745,4770546,2517199,784824,675962,339321,480931,158012,1095281,909560,1279072,9214377,2884214,1224951,347199,142154,631573,1215400,585495,307045,601977
6.9,2010,Hawaii,1333591,668202,665389,86581,79132,82500,86133,76701,93796,65261,27343,38.2,1032863,333842,21170,3506,525848,1333591,512157,1068287,714067,354220,96966,128536,51721,20478,24403,133742,105165,152876,1291747,370676,197206,46259,16410,48536,194914,88368,133315,102862
9,2010,Idaho,1526797,764429,762368,119166,115663,114730,115695,76168,100821,58713,23474,34.4,1107585,1407354,8674,18951,17939,1526797,652323,1153611,755926,397685,138836,108582,62322,71695,23755,170459,134828,207468,1497938,464518,161745,61374,23558,71110,253373,72011,29286,60073
10.4,2010,Illinois,12745359,6250352,6495007,845118,864101,883895,931708,607850,810679,531375,226146,36.2,9591900,9136680,1860305,24729,571537,12745359,5267614,9967535,6654048,3313487,978908,780081,361528,789606,211798,1608404,1346786,1633880,12437349,3926491,1776651,409789,173922,647196,1737964,953179,769086,967610
10.4,2010,Indiana,6417398,3155214,3262184,434204,443320,449556,475672,320517,429621,278296,107389,36.6,4810327,5461258,572352,14487,96189,6417398,2778459,4996762,3279674,1717088,499826,350347,192135,571087,107043,807596,672594,832486,6231398,1890200,777581,274454,89716,394031,845057,337140,99711,185589
6,2010,Iowa,3016267,1488998,1527269,197946,198100,200290,219572,154176,217428,157937,71265,38,2292276,2773410,82682,9825,50363,3016267,1327302,2377835,1642493,735342,230724,215073,98644,232877,45020,422112,345813,376990,2917045,819727,362429,111208,39492,120143,424273,149391,44755,79926
7.1,2010,Kansas,2809329,1391010,1418319,199200,198693,196108,206928,136383,181828,127650,58339,36.1,2093788,2391786,161768,24422,66119,2809329,1222749,2175144,1494540,680604,230280,228678,88717,186200,44703,370727,309183,369489,2729767,807524,330212,108583,40571,119018,427512,181723,57708,119431
10.2,2010,Kentucky,4285828,2105483,2180345,278301,279743,285142,298415,230003,310316,181376,68342,37.7,3265915,3792514,330764,8794,45604,4285828,1911822,3383799,2056333,1327466,315702,286254,127740,263957,71265,548539,468176,554605,4160928,1214771,496990,194428,56620,308968,560162,235282,43223,87571
